time,pnl,equity
2023/7/8 1:15,-27.26045314,27027.05025
2023/7/8 1:20,-26.49330678,27027.81739
2023/7/8 1:25,-28.64250042,27025.6682
2023/7/8 1:30,-35.13351944,27019.17718
2023/7/8 1:35,-35.13351944,27019.17718
2023/7/8 1:40,-30.81722266,27023.49348
2023/7/8 1:45,-30.78762306,27023.52308
2023/7/8 1:50,-35.85196906,27018.45873
2023/7/8 1:55,-39.53837443,27014.77233
2023/7/8 2:00,-42.4170443,27011.89366
2023/7/8 2:05,-41.12852509,27013.18218
2023/7/8 2:10,-36.14834726,27018.16235
2023/7/8 2:15,-26.44864402,27027.86206
2023/7/8 2:20,-20.87503134,27033.43567
2023/7/8 2:25,-81.59766993,26972.71303
2023/7/8 2:30,-81.59766993,26972.71303
2023/7/8 2:35,-75.00041607,26979.31029
2023/7/8 2:40,-73.61543312,26980.69527
2023/7/8 2:45,-54.74359065,26999.56711
2023/7/8 2:50,-98.34313207,26955.96757
2023/7/8 2:55,-139.8513498,26914.45935
2023/7/8 3:00,-98.25965899,26956.05104
2023/7/8 3:05,-58.72863095,26995.58207
2023/7/8 3:10,-51.56009123,27002.75061
2023/7/8 3:15,-62.72637676,26991.58432
2023/7/8 3:20,-47.63765745,27006.67304
2023/7/8 3:25,-37.89188022,27016.41882
2023/7/8 3:30,-30.28768715,27024.02301
2023/7/8 3:35,-30.28768715,27024.02301
2023/7/8 3:40,-29.59980718,27024.71089
2023/7/8 3:45,-29.59980718,27024.71089
2023/7/8 3:50,-29.59980718,27024.71089
2023/7/8 3:55,-23.68586193,27030.62484
2023/7/8 4:00,-17.35388259,27036.95682
2023/7/8 4:05,-16.86906973,27037.44163
2023/7/8 4:10,-18.57639263,27035.73431
2023/7/8 4:15,-18.57639263,27035.73431
2023/7/8 4:20,-17.47287011,27036.83783
2023/7/8 4:25,-19.0670184,27035.24368
2023/7/8 4:30,-18.38454814,27035.92615
2023/7/8 4:35,-18.289968,27036.02073
2023/7/8 4:40,-18.289968,27036.02073
2023/7/8 4:45,-17.34508442,27036.96562
2023/7/8 4:50,-18.71103648,27035.59967
2023/7/8 4:55,-18.71103648,27035.59967
2023/7/8 5:00,-18.76341726,27035.54728
2023/7/8 5:05,-0.5161068,27053.79459
2023/7/8 5:10,7.30136807,27061.61207
2023/7/8 5:15,13.2764256,27067.58713
2023/7/8 5:20,4.55425599,27058.86496
2023/7/8 5:25,-2.10642669,27052.20428
2023/7/8 5:30,-4.00805831,27050.30264
2023/7/8 5:35,0.51285361,27054.82356
2023/7/8 5:40,2.94658031,27057.25728
2023/7/8 5:45,2.11702568,27056.42773
2023/7/8 5:50,-3.16721907,27051.14348
2023/7/8 5:55,-2.01454392,27052.29616
2023/7/8 6:00,-2.01454392,27052.29616
2023/7/8 6:05,-3.42825013,27050.88245
2023/7/8 6:10,1.6031471,27055.91385
2023/7/8 6:15,1.74837324,27056.05907
2023/7/8 6:20,-12.88658081,27041.42412
2023/7/8 6:25,-23.11147323,27031.19923
2023/7/8 6:30,-23.11147323,27031.19923
2023/7/8 6:35,-23.2729901,27031.03771
2023/7/8 6:40,-23.2729901,27031.03771
2023/7/8 6:45,-24.48936924,27029.82133
2023/7/8 6:50,-24.48936924,27029.82133
2023/7/8 6:55,-18.81673343,27035.49397
2023/7/8 7:00,-18.49137488,27035.81933
2023/7/8 7:05,-21.85126791,27032.45943
2023/7/8 7:10,-21.44626482,27032.86444
2023/7/8 7:15,-22.39987139,27031.91083
