time,
2023/6/1 21:25,13032.26083
2023/6/1 21:30,13036.691
2023/6/1 21:35,13036.691
2023/6/1 21:40,13039.42521
2023/6/1 21:45,13036.44353
2023/6/1 21:50,13039.03407
2023/6/1 21:55,13039.69276
2023/6/1 22:00,13049.35823
2023/6/1 22:05,13048.11674
2023/6/1 22:10,13036.65852
2023/6/1 22:15,13042.14881
2023/6/1 22:20,13042.14881
2023/6/1 22:25,13042.69209
2023/6/1 22:30,13042.05802
2023/6/1 22:35,13042.05802
2023/6/1 22:40,13045.48604
2023/6/1 22:45,13046.46543
2023/6/1 22:50,13042.03972
2023/6/1 22:55,13046.92589
2023/6/1 23:00,13046.92589
2023/6/1 23:05,13046.08601
2023/6/1 23:10,13041.09389
2023/6/1 23:15,13041.09389
2023/6/1 23:20,13045.23964
2023/6/1 23:25,13045.11654
2023/6/1 23:30,13046.561
2023/6/1 23:35,13055.75604
2023/6/1 23:40,13060.35816
2023/6/1 23:45,13046.09839
2023/6/1 23:50,13047.5601
2023/6/2 0:35,13049.08209
2023/6/2 0:40,13039.33345
2023/6/2 0:45,13039.33345
2023/6/2 0:50,13039.33345
2023/6/2 0:55,13039.33345
2023/6/2 1:00,13046.38512
2023/6/2 1:05,13046.38512
2023/6/2 1:10,13049.82847
2023/6/2 1:15,13049.82847
2023/6/2 1:20,13049.23774
2023/6/2 1:25,13041.04947
2023/6/2 1:30,13040.72728
2023/6/2 1:35,13040.96836
2023/6/2 1:40,13041.24223
2023/6/2 1:45,13041.34976
2023/6/2 1:50,13040.31765
2023/6/2 1:55,13039.61117
2023/6/2 2:00,13039.65406
2023/6/2 2:05,13041.93369
2023/6/2 2:10,13042.07717
2023/6/2 2:15,13042.47616
2023/6/2 2:20,13040.79309
2023/6/2 2:25,13040.93477
2023/6/2 2:30,13036.96222
2023/6/2 2:35,13036.96222
2023/6/2 2:40,13039.11149
2023/6/2 2:45,13039.11149
2023/6/2 2:50,13040.9231
2023/6/2 2:55,13040.9231
2023/6/2 3:00,13041.60185
2023/6/2 3:05,13042.96946
2023/6/2 3:10,13044.34137
2023/6/2 3:15,13045.07117
2023/6/2 3:20,13044.50688
2023/6/2 3:25,13044.13783
2023/6/2 3:30,13044.15291
2023/6/2 3:35,13043.98258
2023/6/2 3:40,13044.08373
2023/6/2 3:45,13044.37633
2023/6/2 3:50,13044.26199
2023/6/2 3:55,13044.52658
2023/6/2 4:00,13044.52658
2023/6/2 4:05,13044.52658
2023/6/2 4:10,13044.44206
2023/6/2 4:15,13043.72917
2023/6/2 4:20,13043.25126
2023/6/2 4:25,13043.25126
2023/6/2 4:30,13042.07475
2023/6/2 4:35,13042.8769
2023/6/2 4:40,13045.39812
2023/6/2 4:45,13041.60572
2023/6/2 4:50,13041.60572
2023/6/2 4:55,13042.98382
2023/6/2 5:00,13043.79818
2023/6/2 5:05,13044.04748
2023/6/2 5:10,13044.09296
2023/6/2 5:15,13044.32895
2023/6/2 5:20,13033.29246
2023/6/2 5:25,13040.0365
2023/6/2 5:30,13041.81993
2023/6/2 5:35,13042.48645
2023/6/2 5:40,13039.33137
2023/6/2 5:45,13037.45295
2023/6/2 5:50,13037.45295
2023/6/2 5:55,13040.84224
2023/6/2 6:00,13045.74063
2023/6/2 6:05,13045.74063
2023/6/2 6:10,13045.43542
2023/6/2 6:15,13045.43542
2023/6/2 6:20,13045.98683
2023/6/2 6:25,13045.49876
2023/6/2 6:30,13045.49876
2023/6/2 6:35,13045.37621
2023/6/2 6:40,13045.20519
2023/6/2 6:45,13045.20519
2023/6/2 6:50,13044.26907
2023/6/2 6:55,13041.85536
2023/6/2 7:00,13041.61853
2023/6/2 7:05,13041.49091
2023/6/2 7:10,13040.15327
2023/6/2 7:15,13039.66279
2023/6/2 7:20,13039.13896
2023/6/2 7:25,13039.69174
2023/6/2 7:30,13041.39959
2023/6/2 7:35,13041.39959
2023/6/2 7:40,13041.12021
2023/6/2 7:45,13037.30044
2023/6/2 7:50,13037.30044
2023/6/2 7:55,13037.05703
2023/6/2 8:00,13037.31569
2023/6/2 8:05,13039.41775
2023/6/2 8:10,13039.27084
2023/6/2 8:15,13038.55762
2023/6/2 8:20,13038.55762
2023/6/2 8:25,13040.72833
2023/6/2 8:30,13041.56125
2023/6/2 8:35,13041.14763
2023/6/2 8:40,13039.46731
2023/6/2 8:45,13041.50172
2023/6/2 8:50,13042.62123
2023/6/2 8:55,13041.10255
2023/6/2 9:00,13040.90224
2023/6/2 9:05,13040.90224
2023/6/2 9:10,13038.93924
2023/6/2 9:15,13047.68178
2023/6/2 9:20,13045.31287
2023/6/2 9:25,13045.31287
2023/6/2 9:30,13045.31287
2023/6/2 9:35,13044.58848
2023/6/2 9:40,13047.14075
2023/6/2 9:45,13047.23313
2023/6/2 9:50,13047.66204
2023/6/2 9:55,13047.66204
2023/6/2 10:00,13048.50882
2023/6/2 10:05,13050.21356
2023/6/2 10:10,13049.19587
2023/6/2 10:15,13049.89631
2023/6/2 10:20,13049.89631
2023/6/2 10:25,13049.78277
2023/6/2 10:30,13049.78277
2023/6/2 10:35,13051.16319
2023/6/2 10:40,13051.54565
2023/6/2 10:45,13051.54565
2023/6/2 10:50,13051.37497
2023/6/2 10:55,13051.37497
2023/6/2 11:00,13050.42071
2023/6/2 11:05,13052.19567
2023/6/2 11:10,13053.17929
2023/6/2 11:15,13053.17929
2023/6/2 11:20,13053.17929
2023/6/2 11:25,13051.82899
2023/6/2 11:30,13060.15286
2023/6/2 11:35,13060.15286
2023/6/2 11:40,13056.74529
2023/6/2 11:45,13044.70572
2023/6/2 11:50,13029.91215
2023/6/2 11:55,13030.87888
2023/6/2 12:00,13030.87888
2023/6/2 12:05,13047.02073
2023/6/2 12:10,13047.02073
2023/6/2 12:15,13046.3994
2023/6/2 12:20,13046.3994
2023/6/2 12:25,13036.35671
2023/6/2 12:30,13040.50787
2023/6/2 12:35,13040.50787
2023/6/2 12:40,13033.4177
2023/6/2 12:45,13033.4177
2023/6/2 12:50,13033.4177
2023/6/2 12:55,13033.4177
2023/6/2 13:00,13033.24633
2023/6/2 13:05,13025.45586
2023/6/2 13:10,13028.05543
2023/6/2 13:15,13028.05543
2023/6/2 13:20,13029.78336
2023/6/2 13:25,13030.05296
2023/6/2 13:30,13028.09951
2023/6/2 13:35,13026.21526
2023/6/2 13:40,13027.86382
2023/6/2 13:45,13033.44809
2023/6/2 13:50,13032.04559
2023/6/2 13:55,13033.19553
2023/6/2 14:00,13033.19553
2023/6/2 14:05,13033.46325
2023/6/2 14:10,13033.49731
2023/6/2 14:15,13035.51898
2023/6/2 14:20,13035.74702
2023/6/2 14:25,13035.77284
2023/6/2 14:30,13036.72469
2023/6/2 14:35,13036.80805
2023/6/2 14:40,13036.40695
2023/6/2 14:45,13036.04305
2023/6/2 14:50,13036.04305
2023/6/2 14:55,13037.57561
2023/6/2 15:00,13032.67129
2023/6/2 15:05,13032.67129
2023/6/2 15:10,13032.67129
2023/6/2 15:15,13033.82857
2023/6/2 15:20,13033.94903
2023/6/2 15:25,13034.22752
2023/6/2 15:30,13034.22752
2023/6/2 15:35,13035.82999
2023/6/2 15:40,13031.52356
2023/6/2 15:45,13036.13614
2023/6/2 15:50,13034.92248
2023/6/2 15:55,13029.60034
2023/6/2 16:00,13030.55122
2023/6/2 16:05,13030.19354
2023/6/2 16:10,13030.52764
2023/6/2 16:15,13031.37958
2023/6/2 16:20,13031.41111
2023/6/2 16:25,13031.90269
2023/6/2 16:30,13032.00173
2023/6/2 16:35,13031.40234
2023/6/2 16:40,13030.58284
2023/6/2 16:45,13032.27522
2023/6/2 16:50,13033.50398
2023/6/2 16:55,13030.47168
2023/6/2 17:00,13030.47168
2023/6/2 17:05,13031.98918
2023/6/2 17:10,13031.38092
2023/6/2 17:15,13034.66826
2023/6/2 17:20,13034.66826
2023/6/2 17:25,13033.7836
2023/6/2 17:30,13034.04303
2023/6/2 17:35,13035.14635
2023/6/2 17:40,13033.27965
2023/6/2 17:45,13034.91478
2023/6/2 17:50,13034.24486
2023/6/2 17:55,13037.26309
2023/6/2 18:00,13038.82966
2023/6/2 18:05,13038.77358
2023/6/2 18:10,13044.78322
2023/6/2 18:15,13044.78322
2023/6/2 18:20,13039.6277
2023/6/2 18:25,13040.1896
2023/6/2 18:30,13045.08277
2023/6/2 18:35,13045.08277
2023/6/2 18:40,13045.08277
2023/6/2 18:45,13030.66884
2023/6/2 18:50,13028.76709
2023/6/2 18:55,13036.12356
2023/6/2 19:00,13036.12356
2023/6/2 19:05,13035.90841
2023/6/2 19:10,13035.83318
2023/6/2 19:15,13036.13945
2023/6/2 19:20,13040.89282
2023/6/2 19:25,13041.21168
2023/6/2 19:30,13041.21168
2023/6/2 19:35,13043.86495
2023/6/2 19:40,13042.87505
2023/6/2 19:45,13042.05746
2023/6/2 19:50,13040.82199
2023/6/2 19:55,13042.01999
2023/6/2 20:00,13042.01999
2023/6/2 20:05,13044.1532
2023/6/2 20:10,13043.2862
2023/6/2 20:15,13042.69869
2023/6/2 20:20,13042.45007
2023/6/2 20:25,13042.45007
2023/6/2 20:30,13043.75868
2023/6/2 20:35,13044.15944
2023/6/2 20:40,13043.50751
2023/6/2 20:45,13043.28531
2023/6/2 20:50,13043.39653
2023/6/2 20:55,13042.35478
2023/6/2 21:00,13044.14284
2023/6/2 21:05,13044.14284
2023/6/2 21:10,13042.32317
2023/6/2 21:15,13042.32317
2023/6/2 21:20,13044.25415
2023/6/2 21:25,13041.09981
2023/6/2 21:30,13041.73172
2023/6/2 21:35,13042.66318
2023/6/2 21:40,13040.73383
2023/6/2 21:45,13038.48333
2023/6/2 21:50,13037.4727
2023/6/2 21:55,13040.58967
